priority,plane,weight,remainingHealth,remainingOponentHealth,priority,plane,weight,
None,Base,100,44,96,None,Base,100,
None,Base,100,44,96,None,Base,100,
None,Base,100,44,96,None,Base,100,
None,Base,100,44,96,None,Base,100,
None,Base,100,44,96,None,Base,100,
None,Base,100,44,96,None,Base,100,
None,Base,100,44,96,None,Base,100,
None,Base,100,44,96,None,Base,100,
None,Base,100,44,96,None,Base,100,
None,Base,100,44,96,None,Base,100,
None,Base,100,44,96,None,Base,100,
None,Base,100,44,96,None,Base,100,
None,Base,100,44,96,None,Base,100,
None,Base,100,44,96,None,Base,100,
None,Base,100,44,96,None,Base,100,
None,Base,100,44,96,None,Base,100,
None,Base,100,44,96,None,Base,100,
None,Base,100,44,96,None,Base,100,
None,Base,100,44,96,None,Base,100,
None,Base,100,44,96,None,Base,100,
None,Base,100,44,96,None,Base,100,
None,Base,100,44,96,None,Base,100,
None,Base,100,44,96,None,Base,100,
None,Base,100,44,96,None,Base,100,
None,Base,100,44,96,None,Base,100,
None,Base,100,44,95.333333298564,None,Base,100,
None,Base,100,44,94.6666665971279,None,Base,100,
None,Base,100,44,93.9999998956919,None,Base,100,
None,Base,100,44,93.3333331942558,None,Base,100,
None,Base,100,44,92.6666664928198,None,Base,100,
None,Base,100,44,91.9999997913837,None,Base,100,
None,Base,100,44,91.9999997913837,None,Base,100,
None,Base,100,44,91.9999997913837,None,Base,100,
None,Base,100,44,91.9999997913837,None,Base,100,
None,Base,100,44,91.9999997913837,None,Base,100,
None,Base,100,44,91.9999997913837,None,Base,100,
None,Base,100,44,91.9999997913837,None,Base,100,
None,Base,100,44,91.9999997913837,None,Base,100,
None,Base,100,44,91.9999997913837,None,Base,100,
None,Base,100,44,91.9999997913837,None,Base,100,
None,Base,100,44,91.9999997913837,None,Base,100,
None,Base,100,44,91.9999997913837,None,Base,100,
None,Base,100,44,91.9999997913837,None,Base,100,
None,Base,100,44,91.9999997913837,None,Base,100,
None,Base,100,44,91.9999997913837,None,Base,100,
None,Base,100,44,91.9999997913837,None,Base,100,
None,Base,100,44,91.9999997913837,None,Base,100,
None,Base,100,44,91.3333330899477,None,Base,100,
None,Base,100,44,90.6666663885117,None,Base,100,
None,Base,100,44,89.9999996870756,None,Base,100,
None,Base,100,44,89.3333329856396,None,Base,100,
None,Base,100,44,88.6666662842035,None,Base,100,
None,Base,100,44,87.9999995827675,None,Base,100,
None,Base,100,44,87.9999995827675,None,Base,100,
None,Base,100,44,87.9999995827675,None,Base,100,
None,Base,100,44,87.9999995827675,None,Base,100,
None,Base,100,44,87.3333328813314,None,Base,100,
None,Base,100,44,86.6666661798954,None,Base,100,
None,Base,100,44,85.9999994784594,None,Base,100,
None,Base,100,44,85.3333327770233,None,Base,100,
None,Base,100,44,84.6666660755873,None,Base,100,
None,Base,100,44,83.9999993741512,None,Base,100,
None,Base,100,44,83.9999993741512,None,Base,100,
None,Base,100,44,83.9999993741512,None,Base,100,
None,Base,100,44,83.9999993741512,None,Base,100,
None,Base,100,44,83.3333326727152,None,Base,100,
None,Base,100,14,82.6666659712791,None,Base,100,
None,Base,100,14,81.9999992698431,None,Base,100,
None,Base,100,14,81.3333325684071,None,Base,100,
None,Base,100,14,80.666665866971,None,Base,100,
None,Base,100,14,79.999999165535,None,Base,100,
None,Base,100,14,79.999999165535,None,Base,100,
None,Base,100,14,79.999999165535,None,Base,100,
None,Base,100,14,79.999999165535,None,Base,100,
None,Base,100,14,79.3333324640989,None,Base,100,
None,Base,100,14,78.6666657626629,None,Base,100,
None,Base,100,14,77.9999990612268,None,Base,100,
None,Base,100,14,77.3333323597908,None,Base,100,
None,Base,100,14,76.6666656583548,None,Base,100,
None,Base,100,14,75.9999989569187,None,Base,100,
None,Base,100,14,75.9999989569187,None,Base,100,
None,Base,100,14,75.9999989569187,None,Base,100,
None,Base,100,14,75.9999989569187,None,Base,100,
None,Base,100,14,75.3333322554827,None,Base,100,
None,Base,100,14,74.6666655540466,None,Base,100,
None,Base,100,14,73.9999988526106,None,Base,100,
None,Base,100,14,73.3333321511745,None,Base,100,
None,Base,100,14,72.6666654497385,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.9999987483025,None,Base,100,
None,Base,100,14,71.3333320468664,None,Base,100,
None,Base,100,14,70.6666653454304,None,Base,100,
None,Base,100,14,69.9999986439943,None,Base,100,
None,Base,100,14,69.3333319425583,None,Base,100,
None,Base,100,14,68.6666652411222,None,Base,100,
None,Base,100,14,68.6666652411222,None,Base,100,
None,Base,100,14,68.6666652411222,None,Base,100,
None,Base,100,14,68.6666652411222,None,Base,100,
None,Base,100,14,68.6666652411222,None,Base,100,
None,Base,100,14,67.9999985396862,None,Base,100,
None,Base,100,14,67.3333318382502,None,Base,100,
None,Base,100,14,66.6666651368141,None,Base,100,
None,Base,100,14,65.9999984353781,None,Base,100,
None,Base,100,14,65.333331733942,None,Base,100,
None,Base,100,14,65.333331733942,None,Base,100,
None,Base,100,14,65.333331733942,None,Base,100,

